drug_name,risk_score
MnDPDP,0.67
mitomycin,0.65
idarubicin,0.5736
pentamidine,0.4812
delamanid,0.3383
Colimycin,0.3265
phosphate,0.3129
actinomycin,0.3
aminophylline,0.2863
busulfan,0.2849
theophylline,0.2832
vismodegib,0.2722
teniposide,0.2707
prostacyclin,0.2578
dexrazoxane,0.2474
cisplatin,0.2433
bleomycin,0.242
Romidepsin,0.2358
Abarelix,0.2308
carboplatin,0.2208
etoposide,0.2184
flutamide,0.2
mitotane,0.2
vincristine,0.1986
teduglutide,0.195
mifepristone,0.1949
TMC435,0.1915
trametinib,0.187
regorafenib,0.1857
tetrabenazine,0.1833
crizotinib,0.1697
Enfuvirtide,0.168
radium,0.1655
PCI-32765,0.1611
disopyramide,0.16
mivacurium,0.16
pentostatin,0.151
pomalidomide,0.149
bosutinib,0.1478
PGE1,0.1472
Carfilzomib,0.1472
SOM230,0.147
Signifor,0.147
ponatinib,0.1463
fospropofol,0.1451
foscarnet,0.145
belinostat,0.1448
quinidine,0.1445
leuprorelin,0.1423
atosiban,0.14
gold,0.1383
mycophenolic,0.1376
nitrogen,0.1371
glutamine,0.135
anthracycline,0.1314
Anidulafungin,0.1304
eribulin,0.1296
mycophenolate,0.129
4-methylpyrazole,0.125
leucovorin,0.123
mitoxantrone,0.1226
ixabepilone,0.1224
axitinib,0.1212
dabrafenib,0.1183
PEP005,0.1178
FAMP,0.117
cabozantinib,0.1155
irinotecan,0.1153
bromcresol,0.1142
ruxolitinib,0.1141
amphotericin,0.1139
miglustat,0.1129
5-aza-2'-deoxycytidine,0.1103
emedastine,0.11
cidofovir,0.1092
mipomersen,0.1082
iron,0.1082
fluocinolone,0.1076
nelarabine,0.1076
degarelix,0.1076
bendamustine,0.1051
Lantus,0.101
ivacaftor,0.1004
L-threo-DOPS,0.1
carnitine,0.0989
pazopanib,0.0987
TMC207,0.0969
iohexol,0.0967
doxercalciferol,0.0938
FK463,0.0921
mesna,0.0908
Humalog,0.0901
cabazitaxel,0.0897
tobramycin,0.0896
bezafibrate,0.0894
vinorelbine,0.0882
tazarotene,0.0876
rapamycin,0.0872
sodium,0.0872
cytarabine,0.0869
anastrozole,0.0867
erlotinib,0.0865
rasburicase,0.0857
tetrofosmin,0.0844
Supremon,0.0843
clofarabine,0.084
bortezomib,0.0839
alfentanil,0.0825
cinacalcet,0.0824
eliglustat,0.0817
raltitrexed,0.081
capecitabine,0.0801
benzydamine,0.0793
macitentan,0.0792
eltrombopag,0.0791
Goserelin,0.0788
atovaquone,0.0788
Nafarelin,0.0787
K779,0.0786
ofatumumab,0.078
chlorhexidine,0.0772
tamoxifen,0.0772
posaconazole,0.0761
metaproterenol,0.0756
5-aminolevulinic,0.0755
docetaxel,0.0753
copper,0.0753
ulipristal,0.075
riociguat,0.0745
lapatinib,0.0743
methylnaltrexone,0.0743
BCNU,0.0734
Cancidas,0.0727
valganciclovir,0.0726
everolimus,0.0719
aztreonam,0.0714
treprostinil,0.0714
zidovudine/lamivudine,0.0708
gemeprost,0.07
pamidronate,0.068
metformin,0.0679
celecoxib,0.0672
abiraterone,0.0669
glycerol,0.0658
oxaliplatin,0.0658
ibuprofen,0.0654
MDV3100,0.0654
samarium,0.0644
sofosbuvir,0.0636
gemcitabine,0.0631
empagliflozin,0.0628
AMD3100,0.0613
fludarabine,0.0603
trimetrexate,0.0602
phenylbutyric,0.06
FTY720,0.0597
sevelamer,0.0591
doxorubicin,0.0587
letrozole,0.0586
5-FU,0.0582
afatinib,0.0577
mexiletine,0.0575
exemestane,0.0572
iodixanol,0.0558
diazepam,0.0557
miconazole,0.0552
levosimendan,0.055
5-azacytidine,0.0547
methyl,0.0543
azelaic,0.0542
TR-700,0.054
dapsone,0.0539
thalidomide,0.053
pemetrexed,0.053
argatroban,0.0528
melphalan,0.0527
bosentan,0.0525
pilocarpine,0.0525
iotrolan,0.0519
2-hydroxysuccinaldehyde,0.0519
nitrofurantoin,0.0517
thymidine,0.0515
ecallantide,0.0513
metolazone,0.0511
rifaximin,0.0507
lanthanum,0.0507
monomethylfumarate,0.0507
buprenorphine,0.0506
UDCA,0.0505
acetohydroxamic,0.05
levocabastine,0.05
